0;TrialType;2_PortFixCue;17:48:07.7011968
0;Cue_D;0.5;17:48:07.7494656
0;FixationDur;0.1;17:48:07.7609984
1;Event;TrialNum;17:48:07.7758464
1;FixationDur_inc;{add=False, value=0.0471906353266549};17:48:07.8164864
1;ModEvent;FixationMod_on;17:48:07.9732352
1;anchor_xy;(0.267700243172096, -0.45);17:49:17.4484608
1;Cue_xyRel;(-0.393248883028088, 0.0731800245774841);17:49:17.4485376
1;Cue_xy;(-0.125548639855992, -0.376819975422516);17:49:17.4498048
1;StimOn;True;17:49:17.4833536
1;TimerEvent;FixationStarted;17:49:17.4834432
1;TimerEvent;FixationCompleted;17:49:17.5123840
1;ModOutcome;FixationMod_done;17:49:17.5219072
1;ModEvent;FixationMod_off;17:49:17.5250816
1;FixationDur;0.1047191;17:49:17.5631232
1;ModEvent;waiting;17:49:17.5699200
1;ModEvent;RespMod_on;17:49:17.5878912
1;ModOutcome;waiting;17:49:17.5994112
1;RespError_cuefrac;0.0615249907194943;17:49:18.3517568
1;StimOn;False;17:49:18.3678208
1;valve_dur_ms;1600;17:49:18.3746816
1;ModOutcome;RespMod_perfect;17:49:18.3761152
1;ModEvent;RespMod_off;17:49:18.3762688
1;Cue_D;0.49;17:49:18.3769088
1;ModEvent;waiting;17:49:18.3791488
1;ModEvent;LickMod_on;17:49:18.4158720
1;valve_dur_ms;500;17:49:18.4263552
1;ModOutcome;waiting;17:49:18.4320512
1;valve_dur_ms;500;17:49:18.9471232
1;valve_dur_ms;500;17:49:19.4586752
1;valve_dur_ms;100;17:49:19.9608704
1;ModOutcome;LickMod_done;17:49:19.9657984
1;ModEvent;LickMod_off;17:49:19.9658624
1;StimOn;False;17:49:19.9726336
1;Trial_ended;True;17:49:19.9728384
1;valve_dur_ms;1600;17:49:19.9734016
1;ITI;0.646721995969639;17:49:19.9758592
1;ModEvent;waiting;17:49:19.9876480
1;ModOutcome;waiting;17:49:19.9876736
2;Event;TrialNum;17:49:20.6492800
2;ModEvent;FixationMod_on;17:49:20.6522880
2;anchor_xy;(0.132722426933573, -0.45);17:49:24.2782080
2;Cue_xyRel;(0.369658837194312, 0.152814737784511);17:49:24.2782464
2;Cue_xy;(0.502381264127885, -0.297185262215489);17:49:24.2787456
2;StimOn;True;17:49:24.2832000
2;TimerEvent;FixationStarted;17:49:24.2832256
2;TimerEvent;FixationCompleted;17:49:24.3112192
2;ModOutcome;FixationMod_done;17:49:24.3190144
2;ModEvent;FixationMod_off;17:49:24.3191040
2;FixationDur;0.1096608;17:49:24.3198720
2;ModEvent;waiting;17:49:24.3208832
2;ModEvent;RespMod_on;17:49:24.3212928
2;ModOutcome;waiting;17:49:24.3235072
2;RespError_cuefrac;0.633952641234218;17:49:26.3008000
2;StimOn;False;17:49:26.3061632
2;valve_dur_ms;863;17:49:26.3062912
2;ModOutcome;RespMod_ok;17:49:26.3063424
2;ModEvent;RespMod_off;17:49:26.3063808
2;Cue_D;0.48;17:49:26.3067776
2;ModEvent;waiting;17:49:26.3071872
2;ModEvent;LickMod_on;17:49:26.3110016
2;valve_dur_ms;500;17:49:26.3143424
2;ModOutcome;waiting;17:49:26.3156608
2;valve_dur_ms;363;17:49:26.8189696
2;ModOutcome;LickMod_done;17:49:26.8240512
2;ModEvent;LickMod_off;17:49:26.8241280
2;StimOn;False;17:49:26.8331392
2;Trial_ended;True;17:49:26.8332160
2;valve_dur_ms;1600;17:49:26.8332800
2;ITI;0.565549664695537;17:49:26.8333952
2;ModEvent;waiting;17:49:26.8338688
2;ModOutcome;waiting;17:49:26.8339072
3;Event;TrialNum;17:49:27.4069120
3;ModEvent;FixationMod_on;17:49:27.4124672
3;anchor_xy;(0.36979201649306, -0.45);17:49:30.8101504
3;Cue_xyRel;(-0.0955313740631237, 0.388424711584641);17:49:30.8101760
3;Cue_xy;(0.274260642429936, -0.061575288415359);17:49:30.8108672
3;StimOn;True;17:49:30.8155264
3;TimerEvent;FixationStarted;17:49:30.8155392
3;TimerEvent;FixationCompleted;17:49:30.8368000
3;ModOutcome;FixationMod_done;17:49:30.8444544
3;ModEvent;FixationMod_off;17:49:30.8445056
3;FixationDur;0.1148358;17:49:30.8450048
3;ModEvent;waiting;17:49:30.8455424
3;ModEvent;RespMod_on;17:49:30.8458112
3;ModOutcome;waiting;17:49:30.8478208
3;RespError_cuefrac;0.274963972725116;17:49:31.4391296
3;StimOn;False;17:49:31.4439168
3;valve_dur_ms;1600;17:49:31.4439936
3;ModOutcome;RespMod_perfect;17:49:31.4440192
3;ModEvent;RespMod_off;17:49:31.4440576
3;Cue_D;0.47;17:49:31.4444288
3;ModEvent;waiting;17:49:31.4448768
3;ModEvent;LickMod_on;17:49:31.4485120
3;valve_dur_ms;500;17:49:31.4512128
3;ModOutcome;waiting;17:49:31.4541184
3;valve_dur_ms;500;17:49:31.9543808
3;valve_dur_ms;500;17:49:32.4566400
3;valve_dur_ms;100;17:49:32.9590400
3;ModOutcome;LickMod_done;17:49:32.9641344
3;ModEvent;LickMod_off;17:49:32.9642496
3;StimOn;False;17:49:32.9755904
3;Trial_ended;True;17:49:32.9756672
3;valve_dur_ms;1600;17:49:32.9757184
3;ITI;0.911264225333586;17:49:32.9757568
3;ModEvent;waiting;17:49:32.9761024
3;ModOutcome;waiting;17:49:32.9761280
4;Event;TrialNum;17:49:33.9011968
4;ModEvent;FixationMod_on;17:49:33.9036928
4;anchor_xy;(0.326976732368105, -0.45);17:49:36.2331904
4;Cue_xyRel;(0.397049893096356, -0.0484910547644856);17:49:36.2332288
4;Cue_xy;(0.724026625464461, -0.498491054764486);17:49:36.2337024
4;StimOn;True;17:49:36.2383488
4;TimerEvent;FixationStarted;17:49:36.2383616
4;TimerEvent;FixationCompleted;17:49:36.2690560
